Ticker,Window,Threshold,ValidDays,Anomalies,AnomalyRate
QQQ,20,2.0,1740,137,0.07873563218390804
QQQ,20,2.5,1740,64,0.0367816091954023
QQQ,20,3.0,1740,31,0.017816091954022988
QQQ,60,2.0,1700,115,0.06764705882352941
QQQ,60,2.5,1700,52,0.03058823529411765
QQQ,60,3.0,1700,26,0.015294117647058824
SPY,20,2.0,1740,123,0.0706896551724138
SPY,20,2.5,1740,64,0.0367816091954023
SPY,20,3.0,1740,33,0.01896551724137931
SPY,60,2.0,1700,102,0.06
SPY,60,2.5,1700,56,0.03294117647058824
SPY,60,3.0,1700,35,0.020588235294117647
TLT,20,2.0,1740,123,0.0706896551724138
TLT,20,2.5,1740,46,0.026436781609195402
TLT,20,3.0,1740,21,0.01206896551724138
TLT,60,2.0,1700,105,0.061764705882352944
TLT,60,2.5,1700,47,0.027647058823529413
TLT,60,3.0,1700,19,0.011176470588235295
